run_order,pack,case_id,case_json,tv_preset_name,enabled,expected_trade_behavior,primary_change,ui_actions,depends_on,parent_required,canonical_config_hash,semantic_fingerprint,symbol,timeframe,start_date,end_date,notes
1,core,parity_core_001_baseline_touch,cases_fixed/parity_core_001_baseline_touch.json,parity_core_001_baseline_touch,1,NORMAL,baseline touch,Apply only this case change in TV UI: baseline touch,,,bc83dc63c12bef58ed05cb46f4d6ec35fd3a5665eab4b27e964d2446cc359df2,core:baseline touch:b280123b10ead4bd,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
2,core,parity_core_004_signal_range_hybrid,cases_fixed/parity_core_004_signal_range_hybrid.json,parity_core_004_signal_range_hybrid,1,NORMAL,signal range hybrid,Apply only this case change in TV UI: signal range hybrid,,,410e3c48069ef8147fbee1fca486b94587e224c765d0e53b401709970dafde0b,core:signal range hybrid:a5c4d04039e5f6e0,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
3,core,parity_core_005_signal_range_hybrid_bb,cases_fixed/parity_core_005_signal_range_hybrid_bb.json,parity_core_005_signal_range_hybrid_bb,1,NORMAL,signal range hybrid bb,Apply only this case change in TV UI: signal range hybrid bb,,,18e844a023969b2534aea9e937d993f6f385bc826bbaf5c351664a4131483e4b,core:signal range hybrid bb:5451aee23ad09e89,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
4,core,parity_core_006_signal_none,cases_fixed/parity_core_006_signal_none.json,parity_core_006_signal_none,1,ZERO_TRADE_EXPECTED,signal none,Apply only this case change in TV UI: signal none,,,dd62b85d0c7e5d7840efb21efbe128f6d3910279a035fa825ebdc46b2a6d76d9,core:signal none:d66117a4d1e3d5cd,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
5,core,parity_core_009_supertrend_wicks_off_ha_off,cases_fixed/parity_core_009_supertrend_wicks_off_ha_off.json,parity_core_009_supertrend_wicks_off_ha_off,1,NORMAL,supertrend wicks off ha off,Apply only this case change in TV UI: supertrend wicks off ha off,,,4a5d095f3f4bbab552ee56ef59f1f0085973b0826a840f66780188d3dff019db,core:supertrend wicks off ha off:9d053482d58c7cdc,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
6,core,parity_core_020_exit_filter_block_global_on,cases_fixed/parity_core_020_exit_filter_block_global_on.json,parity_core_020_exit_filter_block_global_on,1,NORMAL,exit filter block global on,Apply only this case change in TV UI: exit filter block global on,,,6b178d0dd43bbd49748f7590abad4df8257544cac1c8b25b34e62f7e44632e99,core:exit filter block global on:da7f4f6a22514d8e,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
7,core,parity_core_021_exit_filter_ma_block_on,cases_fixed/parity_core_021_exit_filter_ma_block_on.json,parity_core_021_exit_filter_ma_block_on,1,NORMAL,exit filter ma block on,Apply only this case change in TV UI: exit filter ma block on,,,2b95c004b6d18a46dadb5fdfc8edb2e459a0521b71b6cd68d2d67e106646461b,core:exit filter ma block on:c377a19ca00780e4,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
8,core,parity_core_022_exit_filter_ma_slope_block_on,cases_fixed/parity_core_022_exit_filter_ma_slope_block_on.json,parity_core_022_exit_filter_ma_slope_block_on,1,NORMAL,exit filter ma slope block on,Apply only this case change in TV UI: exit filter ma slope block on,,,bd07f4f72f30592e168796496fa694050847fee362e8200807c0c4645acf0b81,core:exit filter ma slope block on:90437822c37be221,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
9,core,parity_core_023_exit_filter_mcginley_block_on,cases_fixed/parity_core_023_exit_filter_mcginley_block_on.json,parity_core_023_exit_filter_mcginley_block_on,1,NORMAL,exit filter mcginley block on,Apply only this case change in TV UI: exit filter mcginley block on,,,2b67cc9cc106dee99570b203f3c9fd3aec67760b9889be4cf03f2d182d1567b9,core:exit filter mcginley block on:cf1b3e7ef270606b,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
10,core,parity_core_024_exit_filter_htf_block_on,cases_fixed/parity_core_024_exit_filter_htf_block_on.json,parity_core_024_exit_filter_htf_block_on,1,NORMAL,exit filter htf block on,Apply only this case change in TV UI: exit filter htf block on,,,d17222c458f7ccc6456e1ba127de3210df0c45d6792078fdfcfe4884c869be90,core:exit filter htf block on:45fc2bf9c2a5e719,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
11,core,parity_core_025_exit_filter_volume_block_on,cases_fixed/parity_core_025_exit_filter_volume_block_on.json,parity_core_025_exit_filter_volume_block_on,1,NORMAL,exit filter volume block on,Apply only this case change in TV UI: exit filter volume block on,,,aae484f8943f811ef9bb7073f5ebfbb9796a7a5ea1af3c8f4fc95b33ce1bc514,core:exit filter volume block on:d2166020d2a24d45,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
